video_file,start_frame,end_frame,nonlabel_file
video_0.mp4,1,2100,nonlabel0.mp4
video_1.mp4,24,1943,nonlabel1.mp4
video_2.mp4,1,2100,nonlabel2.mp4
video_3.mp4,271,2370,nonlabel3.mp4
video_4.mp4,280,2499,nonlabel4.mp4
video_5.mp4,1,2160,nonlabel5.mp4
video_6.mp4,1,2160,nonlabel6.mp4
video_7.mp4,25,1464,nonlabel7.mp4
video_8.mp4,18,2237,nonlabel8.mp4
video_9.mp4,328,1707,nonlabel9.mp4
video_10.mp4,338,2377,nonlabel10.mp4
video_11.mp4,20,1819,nonlabel11.mp4
video_12.mp4,2,1621,nonlabel12.mp4
video_13.mp4,34,1833,nonlabel13.mp4
video_14.mp4,21,2540,nonlabel14.mp4
video_15.mp4,2,1441,nonlabel15.mp4
video_16.mp4,1,1500,nonlabel16.mp4
video_17.mp4,119,2218,nonlabel17.mp4
video_18.mp4,75,1754,nonlabel18.mp4
video_19.mp4,2,1321,nonlabel19.mp4
video_20.mp4,595,2394,nonlabel20.mp4
video_21.mp4,457,2136,nonlabel21.mp4